"State","Facility Name","Facility ID","Date","Hour","Gross Load (MW)","Steam Load (1000 lb/hr)","SO2 Mass (lbs)","CO2 Mass (short tons)","NOx Mass (lbs)","Heat Input (mmBtu)"
"MA","Pittsfield Generating",50002,"2025-03-20",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",8,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",18,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-20",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",5,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",8,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",18,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-21",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",5,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",8,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-22",18,,,,,,
