datasourceId,sourceId,sourceType,StartOfPeriod,endOfPeriod,locationLatitude,locationLongitude,no2Conc1HourMean.qcAssessment,no2Conc1HourMean.status,no2Conc1HourMean.value,pm10ConcMass1HourMean.qcAssessment,pm10ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.qcAssessment,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;15,2024;04;01;16,42.45301464,-73.26174029,valid,calibrated-ready,12.41,valid,9.48,valid,calibrated-ready,4.26
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;04;01;15,2024;04;01;16,42.45658,-73.2441,valid,calibrated-ready,14.95,valid,12.08,valid,calibrated-ready,4.14
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;04;01;15,2024;04;01;16,42.44963,-73.25216,valid,calibrated-ready,25.5,valid,20.06,valid,calibrated-ready,5.78
DARSM2019,AF64TV9R,CLARITY_NODE,2024;04;01;16,2024;04;01;17,42.45179,-73.25484,valid,calibrated-ready,16.67,valid,10.3,valid,calibrated-ready,5.35
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;16,2024;04;01;17,42.46803,-73.20072,valid,calibrated-ready,14.31,valid,7.83,valid,calibrated-ready,4.08
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;16,2024;04;01;17,42.42506,-73.22515,valid,calibrated-ready,10.16,valid,8.68,valid,calibrated-ready,4.03
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;16,2024;04;01;17,42.42689,-73.28892,valid,calibrated-ready,15.69,valid,11.91,valid,calibrated-ready,3.82
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;16,2024;04;01;17,42.45855,-73.22086,valid,calibrated-ready,6.91,valid,10.5,valid,calibrated-ready,4.53
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;16,2024;04;01;17,42.42171656,-73.20349336,valid,calibrated-ready,20.3,valid,6.84,valid,calibrated-ready,4.17
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;16,2024;04;01;17,42.45301464,-73.26174029,valid,calibrated-ready,10.07,valid,10.37,valid,calibrated-ready,4.63
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;04;01;16,2024;04;01;17,42.45658,-73.2441,valid,calibrated-ready,16.23,valid,13.31,valid,calibrated-ready,4.41
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;04;01;16,2024;04;01;17,42.44963,-73.25216,valid,calibrated-ready,17.27,valid,10.7,valid,calibrated-ready,4.68
DARSM2019,AF64TV9R,CLARITY_NODE,2024;04;01;17,2024;04;01;18,42.45179,-73.25484,valid,calibrated-ready,17.12,valid,5.37,valid,calibrated-ready,4.24
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;17,2024;04;01;18,42.46803,-73.20072,valid,calibrated-ready,16.25,valid,8.41,valid,calibrated-ready,4.36
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;17,2024;04;01;18,42.42506,-73.22515,valid,calibrated-ready,11,valid,7.44,valid,calibrated-ready,3.81
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;17,2024;04;01;18,42.42689,-73.28892,valid,calibrated-ready,12.37,valid,10.58,valid,calibrated-ready,4.18
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;17,2024;04;01;18,42.45855,-73.22086,valid,calibrated-ready,6.97,valid,9.25,valid,calibrated-ready,4.41
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;17,2024;04;01;18,42.42171656,-73.20349336,valid,calibrated-ready,20.91,valid,7.49,valid,calibrated-ready,4.44
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;17,2024;04;01;18,42.45301464,-73.26174029,valid,calibrated-ready,7.06,valid,6.57,valid,calibrated-ready,4.12
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;04;01;17,2024;04;01;18,42.45658,-73.2441,valid,calibrated-ready,11.99,valid,8.35,valid,calibrated-ready,4.12
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;04;01;17,2024;04;01;18,42.44963,-73.25216,valid,calibrated-ready,10.72,valid,7.87,valid,calibrated-ready,4.14
DARSM2019,AF64TV9R,CLARITY_NODE,2024;04;01;18,2024;04;01;19,42.45179,-73.25484,valid,calibrated-ready,21.51,valid,5.18,valid,calibrated-ready,4.53
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;18,2024;04;01;19,42.46803,-73.20072,valid,calibrated-ready,13.95,valid,6.08,valid,calibrated-ready,4.32
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;18,2024;04;01;19,42.42506,-73.22515,valid,calibrated-ready,8.55,valid,5.37,valid,calibrated-ready,3.93
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;18,2024;04;01;19,42.42689,-73.28892,valid,calibrated-ready,15.16,valid,9.06,valid,calibrated-ready,4.16
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;18,2024;04;01;19,42.45855,-73.22086,valid,calibrated-ready,4,valid,5.86,valid,calibrated-ready,4.12
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;18,2024;04;01;19,42.42171656,-73.20349336,valid,calibrated-ready,22.99,valid,4.96,valid,calibrated-ready,4.18
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;18,2024;04;01;19,42.45301464,-73.26174029,valid,calibrated-ready,5.51,valid,5.87,valid,calibrated-ready,4.16
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;04;01;18,2024;04;01;19,42.45658,-73.2441,valid,calibrated-ready,11.6,valid,8.68,valid,calibrated-ready,4.28
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;04;01;18,2024;04;01;19,42.44963,-73.25216,valid,calibrated-ready,7.16,valid,5.97,valid,calibrated-ready,4.09
DARSM2019,AF64TV9R,CLARITY_NODE,2024;04;01;19,2024;04;01;20,42.45179,-73.25484,valid,calibrated-ready,22.64,valid,4.45,valid,calibrated-ready,4.19
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;19,2024;04;01;20,42.46803,-73.20072,valid,calibrated-ready,13.77,valid,5.36,valid,calibrated-ready,4.21
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;19,2024;04;01;20,42.42506,-73.22515,valid,calibrated-ready,6.8,valid,4.87,valid,calibrated-ready,3.89
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;19,2024;04;01;20,42.42689,-73.28892,valid,calibrated-ready,13.86,valid,7.95,valid,calibrated-ready,3.95
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;19,2024;04;01;20,42.45855,-73.22086,valid,calibrated-ready,1.4,valid,5.27,valid,calibrated-ready,4.13
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;19,2024;04;01;20,42.42171656,-73.20349336,valid,calibrated-ready,20.61,valid,4.78,valid,calibrated-ready,4.14
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;19,2024;04;01;20,42.45301464,-73.26174029,valid,calibrated-ready,6.38,valid,5.58,valid,calibrated-ready,4.07
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;04;01;19,2024;04;01;20,42.45658,-73.2441,valid,calibrated-ready,14.08,valid,5.67,valid,calibrated-ready,3.97
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;04;01;19,2024;04;01;20,42.44963,-73.25216,valid,calibrated-ready,9.14,valid,6.32,valid,calibrated-ready,4.19
DARSM2019,AF64TV9R,CLARITY_NODE,2024;04;01;20,2024;04;01;21,42.45179,-73.25484,valid,calibrated-ready,21.35,valid,3.99,valid,calibrated-ready,4.09
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;20,2024;04;01;21,42.46803,-73.20072,valid,calibrated-ready,13.12,valid,4.95,valid,calibrated-ready,3.97
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;20,2024;04;01;21,42.42506,-73.22515,valid,calibrated-ready,8.47,valid,4.88,valid,calibrated-ready,3.85
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;20,2024;04;01;21,42.42689,-73.28892,valid,calibrated-ready,16.91,valid,7.5,valid,calibrated-ready,3.51
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;20,2024;04;01;21,42.45855,-73.22086,valid,calibrated-ready,7.68,valid,4.9,valid,calibrated-ready,3.98
